iter	Passed	Remaining
0	147	147636
1	151	75436
2	153	51052
3	156	38959
4	159	31687
5	163	27011
6	165	23522
7	167	20799
8	170	18739
9	172	17086
10	177	15923
11	180	14867
12	184	13995
13	187	13210
14	190	12529
15	192	11846
16	195	11296
17	197	10793
18	200	10357
19	203	9985
20	206	9644
21	209	9306
22	211	9003
23	214	8718
24	217	8469
25	219	8226
26	221	7998
27	224	7783
28	226	7571
29	228	7374
30	230	7214
31	233	7052
32	235	6895
33	237	6745
34	239	6609
35	241	6474
36	243	6344
37	246	6232
38	248	6123
39	250	6004
40	252	5911
41	255	5831
42	259	5764
43	262	5708
44	265	5631
45	267	5544
46	269	5463
47	271	5384
48	274	5327
49	275	5237
50	278	5178
51	280	5121
52	283	5061
53	285	5001
54	288	4954
55	291	4906
56	293	4854
57	295	4801
58	296	4733
59	299	4686
60	302	4649
61	304	4610
62	307	4569
63	309	4526
64	311	4482
65	313	4439
66	317	4417
67	320	4387
68	322	4346
69	324	4306
70	326	4271
71	328	4234
72	331	4204
73	333	4175
74	335	4141
75	338	4114
76	340	4082
77	342	4048
78	344	4014
79	346	3985
80	348	3957
81	350	3922
82	351	3880
83	352	3848
84	354	3818
85	356	3790
86	358	3759
87	361	3746
88	364	3726
89	365	3699
90	367	3671
91	369	3643
92	370	3614
93	372	3586
94	373	3557
95	374	3530
96	376	3505
97	378	3480
98	379	3453
99	380	3428
100	382	3402
101	383	3376
102	384	3351
103	386	3326
104	387	3302
105	388	3278
106	390	3254
107	391	3235
108	393	3213
109	394	3190
110	395	3167
111	396	3144
112	397	3121
113	398	3099
114	400	3078
115	401	3057
116	402	3034
117	403	3013
118	404	2992
119	405	2974
120	407	2957
121	408	2937
122	409	2918
123	410	2900
124	411	2882
125	412	2863
126	413	2843
127	414	2825
128	415	2807
129	416	2790
130	418	2773
131	419	2756
132	420	2738
133	421	2723
134	422	2708
135	423	2692
136	424	2675
137	425	2659
138	426	2644
139	427	2628
140	428	2612
141	429	2596
142	430	2582
143	431	2566
144	432	2552
145	433	2538
146	434	2523
147	436	2512
148	437	2500
149	438	2486
150	439	2473
151	441	2460
152	442	2447
153	443	2434
154	444	2421
155	445	2409
156	446	2397
157	447	2385
158	448	2373
159	449	2361
160	450	2347
161	452	2338
162	453	2327
163	454	2315
164	455	2303
165	456	2291
166	457	2279
167	457	2267
168	459	2257
169	460	2246
170	461	2236
171	462	2225
172	463	2214
173	464	2203
174	465	2193
175	466	2183
176	467	2173
177	468	2163
178	469	2153
179	470	2143
180	471	2133
181	472	2123
182	473	2113
183	474	2104
184	475	2094
185	476	2084
186	477	2075
187	478	2065
188	479	2057
189	480	2047
190	481	2040
191	482	2032
192	483	2023
193	484	2014
194	485	2005
195	486	1996
196	487	1988
197	488	1979
198	490	1972
199	491	1964
200	492	1956
201	492	1947
202	493	1939
203	494	1931
204	496	1924
205	497	1916
206	498	1909
207	499	1901
208	500	1893
209	501	1885
210	502	1878
211	503	1870
212	504	1862
213	505	1855
214	506	1847
215	507	1840
216	508	1833
217	509	1825
218	509	1818
219	511	1811
220	512	1807
221	513	1800
222	514	1793
223	515	1787
224	516	1780
225	517	1773
226	518	1766
227	519	1759
228	520	1753
229	521	1746
230	522	1740
231	523	1733
232	524	1727
233	525	1720
234	526	1715
235	528	1710
236	529	1703
237	530	1697
238	531	1691
239	532	1685
240	532	1678
241	533	1671
242	534	1666
243	535	1660
244	536	1654
245	537	1648
246	538	1641
247	539	1636
248	540	1630
249	541	1624
250	543	1621
251	544	1616
252	545	1610
253	546	1605
254	547	1599
255	548	1594
256	549	1589
257	550	1584
258	551	1578
259	552	1573
260	553	1568
261	554	1562
262	555	1557
263	556	1552
264	558	1548
265	559	1543
266	560	1538
267	561	1533
268	562	1528
269	563	1522
270	564	1517
